businessName,phoneNumber,streetaddress,city,state,zipcode,country,address,longitude,latitude,imageUrls,websiteUrl,category,keyword
Tawa Indian Cuisine,(203) 359-8977,487 Glenbrook Rd,Stamford,Connecticut,6906,United States,"487 Glenbrook Rd,Stamford,Western Connecticut Planning Region,Connecticut,6906,United States",41.0700705,-73.520046,"{""https://drive.google.com/file/d/13lZDCRYFyKFDYcc3wjj5LmSwDnzX2dde/view?usp=drivesdk"",""https://drive.google.com/file/d/1ysO34kp8VzPMsvseTuo9HcxDWiyvDUpz/view?usp=drivesdk"",""https://drive.google.com/file/d/1hzsSuPSM8bcdcx59jBCfFyVzV8fCZrba/view?usp=drivesdk""}",http://www.ordertawa.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Mount Everest Spice,(860) 232-1500,1144 New Britain Ave,West Hartford,Connecticut,6110,United States,"1144 New Britain Ave,West Hartford,Capitol Planning Region,Connecticut,6110,United States",41.7330307,-72.7334284,"{""https://drive.google.com/file/d/1r-kZK374mYiQl4-YxRkSz-tqPDD9QgRY/view?usp=drivesdk"",""https://drive.google.com/file/d/1B_6XzQRuMiq073jkQN0Grgyi7fjaP3LW/view?usp=drivesdk"",""https://drive.google.com/file/d/1_oxvdNyUeu4dOHIg20QD5QPatQq2wF1q/view?usp=drivesdk""}",,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Al-Madina Restaurant,(860) 791-6330,246 Broad St,Manchester,Connecticut,6040,United States,"246 Broad St,Manchester,Hartford County,Connecticut,6040,United States",41.7807976,-72.5353147,"{""https://drive.google.com/file/d/1HW8chyiZs1pu4_JdJPnYvpXYCpJIQewK/view?usp=drivesdk"",""https://drive.google.com/file/d/1zFPok5b_JcXsXKjtG6SRpCVrU6Gm4j3m/view?usp=drivesdk"",""https://drive.google.com/file/d/1DE9zxlRuw9Nzxkw-fis1J4tIFPef-nXA/view?usp=drivesdk""}",http://almadinact.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Meera Indian Cuisine,(203) 359-8977,211 Summer St,Stamford,Connecticut,6901,United States,"211 Summer St,Stamford,Western Connecticut Planning Region,Connecticut,6901,United States",41.0547562,-73.5404012,"{""https://drive.google.com/file/d/1XOdRVfWI0a0Fu6rJwIOdmYewX1al2qhG/view?usp=drivesdk"",""https://drive.google.com/file/d/1-M5246y_N22wP8kE5nT5P7ichs32YFbe/view?usp=drivesdk"",""https://drive.google.com/file/d/1XpDEbonGLxkvjY8Pevpjdix5M5xDRJlz/view?usp=drivesdk""}",http://www.tajstamford.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Tai Mahal Restaurant,(203) 698-2952,1114 E Putnam Ave,Riverside,Connecticut,6878,United States,"1114 E Putnam Ave,Riverside,Riverside County,Connecticut,6878,United States",41.0337082,-73.57818,"{""https://drive.google.com/file/d/1MQ_H9Ceu1tBhuIe61wjkfr7cxtNRCWuA/view?usp=drivesdk"",""https://drive.google.com/file/d/11mNE5hgQm6JJKD588IXhTsRluhBDa4oU/view?usp=drivesdk"",""https://drive.google.com/file/d/1wdrrLZ-4ybN5njYS21x0bxFyayYUGKuV/view?usp=drivesdk""}",,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
House of Naan Indian Kitchen and Bar,(203) 562-6226,65 Howe St,New Haven,Connecticut,6511,United States,"65 Howe St,New Haven,South Central Connecticut Planning Region,Connecticut,6511,United States",41.3095459,-72.9350166,"{""https://drive.google.com/file/d/1D8VpSUhXzbLNmcSkmkIRE8QcP1WWx7Ir/view?usp=drivesdk"",""https://drive.google.com/file/d/1DbUQX9apMuKBegB3arUbqZuMMQSqSd5m/view?usp=drivesdk"",""https://drive.google.com/file/d/1jXpACDZcHPzhtvWt6DtF55yXWy88FabZ/view?usp=drivesdk""}",http://www.houseofnaan.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Himalaya Restaurant,(860) 505-0812,1213 Farmington Ave,Berlin,Connecticut,6037,United States,"1213 Farmington Ave,Berlin,Coos county,Connecticut,6037,United States",41.62790408,-72.75518914,"{""https://drive.google.com/file/d/1tlzHRnHK1d9bktr1pb5sIb5CkCPaIBML/view?usp=drivesdk"",""https://drive.google.com/file/d/14lZ6WexZGPt2o6RflptTt1PXxab7o63w/view?usp=drivesdk"",""https://drive.google.com/file/d/1fp1fOGA_LeBxPX25m5aY4vhSsx6Rw9jZ/view?usp=drivesdk""}",https://www.orderhimalayarestaurant.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Shakahari,(860) 575-7339,1458 Boston Post Rd,Old Saybrook,Connecticut,6475,United States,"1458 Boston Post Rd,Old Saybrook,Lower Connecticut River Valley Planning Region,Connecticut,6475,United States",41.28315768,-72.44041846,"{""https://drive.google.com/file/d/1WOkITwT9ZxSB5fvh-8cb8QvId_qOeWRy/view?usp=drivesdk"",""https://drive.google.com/file/d/1SJaHk96UPtWJJGOOussdl7YUYlU0AiC3/view?usp=drivesdk"",""https://drive.google.com/file/d/1UTmqMSZGcAXFczlQtyzUpYyahQpFgsdG/view?usp=drivesdk""}",https://shakaharict.com/about-us,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Himalaya Cafe,(860) 577-5300,1456 Boston Post Rd,Old Saybrook,Connecticut,6475,United States,"1456 Boston Post Rd,Old Saybrook,Lower Connecticut River Valley Planning Region,Connecticut,6475,United States",41.28317846,-72.44047892,"{""https://drive.google.com/file/d/15CqC6L30X-OOpLVgQ5NPd1j9fxinSfWl/view?usp=drivesdk"",""https://drive.google.com/file/d/1vmN92rARbjyxoRyrsrHtNjI2lc8UErGf/view?usp=drivesdk"",""https://drive.google.com/file/d/1b-hEDdfHgqbzFOsfsfCpyBjoHsSghinI/view?usp=drivesdk""}",http://www.facebook.com/himalaya.bistr.1,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Kamana Fine Indian Cuisine,(203) 689-5728,1004 Boston Post Rd,Guilford,Connecticut,6437,United States,"1004 Boston Post Rd,Guilford,Guilford County,Connecticut,6437,United States",41.2879778,-72.68287835,"{""https://drive.google.com/file/d/19IINZa4hoeWcy4IgJeYzmgEdDDoKskKH/view?usp=drivesdk"",""https://drive.google.com/file/d/1VkS7RGKXTHtfmyXt_RfqLihY9rtoSJ14/view?usp=drivesdk"",""https://drive.google.com/file/d/1o05XW_CScatm8gTkTSrMI4cd5TmNsJ-k/view?usp=drivesdk""}",http://www.kamanaindiancuise.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Tasty Halal,(203) 345-4400,988 State St,Bridgeport,Connecticut,6605,United States,"988 State St,Bridgeport,Greater Bridgeport Planning Region,Connecticut,6605,United States",41.1726576,-73.2029821,"{""https://drive.google.com/file/d/1runuRoprn7WN6xwUccqXkYNgFetUfCBS/view?usp=drivesdk"",""https://drive.google.com/file/d/1ejarvgZOGdRhlBM3Yyz0c13jsrMQW7gn/view?usp=drivesdk"",""https://drive.google.com/file/d/1FSnViB3K0VHBsm2KOBRZH4ze5DYGnIYk/view?usp=drivesdk""}",http://mateenkhawaja.wixsite.com/tastyhalal,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Mint Leaf,(860) 326-5596,770 Long Hill Rd,Groton,Connecticut,6340,United States,"770 Long Hill Rd,Groton,Southeastern Connecticut Planning Region,Connecticut,6340,United States",41.3482548,-72.052855,"{""https://drive.google.com/file/d/1KVEybY_cJ6EvmkVnnKXbIG3ovD2EMb0X/view?usp=drivesdk"",""https://drive.google.com/file/d/1iZBZ6uN18lI5bWqt3ExsFwCFjQrCh8Bk/view?usp=drivesdk"",""https://drive.google.com/file/d/1rnrYj0NVIffQYTmfAKog2pYmXgw66f62/view?usp=drivesdk""}",,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Taj indian cuisine fairfield ct,(203) 690-1387,1879 Black Rock Turnpike,Fairfield,Connecticut,6825,United States,"1879 Black Rock Turnpike,Fairfield,Fairfield County,Connecticut,6825,United States",41.1796522,-73.2479256,"{""https://drive.google.com/file/d/1KqUmNJeVLpnGAsHOCA_WsBj6aAZzsGCm/view?usp=drivesdk"",""https://drive.google.com/file/d/1QfasCm2KFoZtfr0HF9v3yh0HznLaAvYO/view?usp=drivesdk"",""https://drive.google.com/file/d/1SIVdiHdaFMYPdBWYh26i88ZRb-5w64oA/view?usp=drivesdk""}",,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Brindavan,(203) 693-2898,157 Cherry St,Milford,Connecticut,6460,United States,"157 Cherry St,Milford,South Central Connecticut Planning Region,Connecticut,6460,United States",41.2275519,-73.0493361,"{""https://drive.google.com/file/d/12DnqHpzsmwoN_RmkLTuso4SjhH1J-oIU/view?usp=drivesdk"",""https://drive.google.com/file/d/1WTQM0kbBtlsgpD7EcJE87LnNn1tnd1i9/view?usp=drivesdk"",""https://drive.google.com/file/d/1ACrZxEwFgxWh8ukQ26ZBJAJ9oFLiQaTx/view?usp=drivesdk""}",,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Muyuri Indian Bistro,(203) 725-3433,1249 W Main St,Waterbury,Connecticut,6708,United States,"1249 W Main St,Waterbury,Naugatuck Valley Planning Region,Connecticut,6708,United States",41.5520005,-73.0632137,"{""https://drive.google.com/file/d/14iImCvnyAh2gOfhh7X7NkRoXEl1cZS4y/view?usp=drivesdk"",""https://drive.google.com/file/d/1WA9M2nq5fK_cqnn4c68qjuZeoAL0SdzJ/view?usp=drivesdk"",""https://drive.google.com/file/d/1bT2WOgOoCnzzCkhfSUMYgMqOq93jgq93/view?usp=drivesdk""}",http://www.muyuriindianbistro.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Dhaba Wala,(860) 232-1500,49 Asylum St,Hartford,Connecticut,6103,United States,"49 Asylum St,Hartford,Capitol Planning Region,Connecticut,6103,United States",41.7665175,-72.6743946,"{""https://drive.google.com/file/d/1kxHzsOKdNKhDGob9zG3MWJjkTBG2IcaD/view?usp=drivesdk"",""https://drive.google.com/file/d/1t7OXfsdfm-vJqLI-JOir7Q0mxUWLRDqT/view?usp=drivesdk"",""https://drive.google.com/file/d/13sZMvRL_f-PnDoeusNsygwGVicLPQXnZ/view?usp=drivesdk""}",https://www.dhabawalahartford.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
The Naan,(203) 557-6667,361 Post Rd W,Westport,Connecticut,6880,United States,"361 Post Rd W,Westport,Western Connecticut Planning Region,Connecticut,6880,United States",41.12999838,-73.37755028,"{""https://drive.google.com/file/d/1nTYKDmmVW3yIcBvzCGJGH38suhpGp_Me/view?usp=drivesdk"",""https://drive.google.com/file/d/198MeAwA7WdXfLBykmjGDljhO6dFhu6-E/view?usp=drivesdk"",""https://drive.google.com/file/d/1Ah0-Aqc_WXnHCIZaWo3tPP8RB0WGa0vc/view?usp=drivesdk""}",https://thenaanct.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
The Royal Punjabi,(860) 934-5469,198 Main St,Norwich,Connecticut,6360,United States,"198 Main St,Norwich,Norfolk,Connecticut,6360,United States",41.5245645,-72.0754196,"{""https://drive.google.com/file/d/13YvSrrkTQfz8xy_afyp9ix-BGvp35Dx8/view?usp=drivesdk"",""https://drive.google.com/file/d/1HqQ_ZU7umUIGUBgdVCA-KpJoJq04dRu2/view?usp=drivesdk"",""https://drive.google.com/file/d/1QbYo7vuJW1jpW6Ih9y9zIMxivyH78VBY/view?usp=drivesdk""}",http://theroyalpunjabict.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Darbar India,(203) 481-8994,1070 Main St,Branford,Connecticut,6405,United States,"1070 Main St,Branford,South Central Connecticut Planning Region,Connecticut,6405,United States",41.283044,-72.810363,"{""https://drive.google.com/file/d/1IGZck2C_XsjXd2YZ6oyY3fr0vdulU67f/view?usp=drivesdk"",""https://drive.google.com/file/d/1ClRfZcAhmBUwv6EqczeZufSbcZGGYcxi/view?usp=drivesdk"",""https://drive.google.com/file/d/1anZBWO-pigcyQ1Aom6j4ykSsJFWbcw72/view?usp=drivesdk""}",http://darbarindia.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Chef Prasad,(475) 256-5657,62 Main St,New Canaan,Connecticut,6840,United States,"62 Main St,New Canaan,Western Connecticut Planning Region,Connecticut,6840,United States",41.1484233,-73.4929977,"{""https://drive.google.com/file/d/1fOH89e9jajZ84NQR6r16iWnZI3Xu7YGQ/view?usp=drivesdk"",""https://drive.google.com/file/d/1zmG0P8yxIp_LxH5MOZsqbRgDctYEj7pY/view?usp=drivesdk"",""https://drive.google.com/file/d/16eT58CkGUoZMh9YxZfdfQV55w9uPgifQ/view?usp=drivesdk""}",http://www.chefprasad.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Adyar Ananda Bhavan,(203) 323-9111,1033 Washington Blvd,Stamford,Connecticut,6901,United States,"1033 Washington Blvd,Stamford,Western Connecticut Planning Region,Connecticut,6901,United States",41.05387983,-73.54317694,"{""https://drive.google.com/file/d/1B3SOojU2pegZBLvOfBX4hwRUQh6dMogb/view?usp=drivesdk"",""https://drive.google.com/file/d/13vh9bXRBxNE0FU0WetZvon4-CNbrZVpu/view?usp=drivesdk"",""https://drive.google.com/file/d/1i2HZhxXVCsuR-C5OYdpxZZDAZtjkPDXt/view?usp=drivesdk""}",,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Spice Indian Cuisine and Bar,(203) 300-5784,25 Grassy Plain St,Bethel,Connecticut,6801,United States,"25 Grassy Plain St,Bethel,Unorganized Borough,Connecticut,6801,United States",41.3769005,-73.425938,"{""https://drive.google.com/file/d/1yn5avk9YDbFO3mBLuqHrvajgNIcGK-9b/view?usp=drivesdk"",""https://drive.google.com/file/d/19xOfaZ0RUfwrSmXJ3Ed_EhHQNflh1d7Q/view?usp=drivesdk"",""https://drive.google.com/file/d/1q4PKPfkQ9w_kooUGSDf_Y2N_VLMXzEdP/view?usp=drivesdk""}",http://www.spiceindiancuisinect.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Sherkaan Indian Street Food,(203) 405-5808,65 Broadway,New Haven,Connecticut,6511,United States,"65 Broadway,New Haven,South Central Connecticut Planning Region,Connecticut,6511,United States",41.3118527,-72.9310099,"{""https://drive.google.com/file/d/1z624f28IuZpe0PNYTffQxk3MteP26Aq3/view?usp=drivesdk"",""https://drive.google.com/file/d/11ioaHQOqdBOgTrXxfHyrTdhk3uOlAvJA/view?usp=drivesdk"",""https://drive.google.com/file/d/13k6I0nxaTBo14FBYTTxbhD-w3SDM-57w/view?usp=drivesdk""}",https://www.sherkaan.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Flavors of Nawab,(860) 454-7655,4 West Rd,Ellington,Connecticut,6029,United States,"4 West Rd,Ellington,Tuscola County,Connecticut,6029,United States",41.8706424,-72.4650933,"{""https://drive.google.com/file/d/13eFCGVGht4kFtPnNFqpK4aM5cwU_MbXS/view?usp=drivesdk"",""https://drive.google.com/file/d/1bJL5vfgw7hrLwDS2I4nJE0FJya5xV5Dw/view?usp=drivesdk"",""https://drive.google.com/file/d/1XW53SWE3ac_Gnh5vxlNJvyIhoIfhP7My/view?usp=drivesdk""}",http://www.flavorsofnawab.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Vedas Indian Cuisine,(203) 292-8333,1757 Post Rd E,Westport,Connecticut,6880,United States,"1757 Post Rd E,Westport,Western Connecticut Planning Region,Connecticut,6880,United States",41.13844997,-73.30260061,"{""https://drive.google.com/file/d/1DHyhLgSin81hZ40FoT3uBU0dQkjRP8U2/view?usp=drivesdk"",""https://drive.google.com/file/d/1qfIieGRQZnaReXwYHd_0KDb2zZdRu6h4/view?usp=drivesdk"",""https://drive.google.com/file/d/1Ntdu8SrF-R7WQZsHeGnq6sZHaDhmY_vb/view?usp=drivesdk""}",http://www.vedaindian.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Jewel Of Himalaya Restaurant,(203) 304-9383,266 S Main St,Newtown,Connecticut,6470,United States,"266 S Main St,Newtown,Western Connecticut Planning Region,Connecticut,6470,United States",41.3691163,-73.2721329,"{""https://drive.google.com/file/d/1M3bZkMkzOg5fGaIDOh9bhNrE6tb2V4m6/view?usp=drivesdk"",""https://drive.google.com/file/d/1mTiqaLkT2DrEVVqj4qKZ4vCNSa0QXwSl/view?usp=drivesdk"",""https://drive.google.com/file/d/1z6tKMmPPQvGO5uLn1WLSAafglv4EXjxs/view?usp=drivesdk""}",http://www.jewelofhimalayact.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Curry & Hurry,(203) 344-2354,1340 E Putnam Ave,Old Greenwich,Connecticut,6870,United States,"1340 E Putnam Ave,Old Greenwich,Western Connecticut Planning Region,Connecticut,6870,United States",41.022875,-73.564846,"{""https://drive.google.com/file/d/1w-3qL6SZi-7f0KDmPjBQPGWPMZKcmz5J/view?usp=drivesdk"",""https://drive.google.com/file/d/1UmT0VSpJWqE6b4U-7hWB4Pn7rOj7YeIl/view?usp=drivesdk"",""https://drive.google.com/file/d/1G74eHeLDDYYxjE-P-UAizwGPbg67Uy_T/view?usp=drivesdk""}",http://www.currynhurryindianeatery.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Maha Grill,(203) 283-4088,329 Old Gate Ln,Milford,Connecticut,6460,United States,"329 Old Gate Ln,Milford,South Central Connecticut Planning Region,Connecticut,6460,United States",41.2348743,-73.02657503,"{""https://drive.google.com/file/d/15n0Ve8vm2gsDypEGDFf-mkj90bkl4l9m/view?usp=drivesdk"",""https://drive.google.com/file/d/14GulDuedrTKnWd67ksvcCss4-8RfuR6U/view?usp=drivesdk"",""https://drive.google.com/file/d/1HfcTCbGaNn7e37XXYdH4a1Av6uqP5HN7/view?usp=drivesdk""}",http://mahagrill.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Jaipore Xpress,(203) 403-3997,19 Bailey Ave,Ridgefield,Connecticut,6877,United States,"19 Bailey Ave,Ridgefield,Western Connecticut Planning Region,Connecticut,6877,United States",41.28175341,-73.49767486,"{""https://drive.google.com/file/d/1twM8Y_-AAdn_N5FYm6DpdnCwaTAjwt3w/view?usp=drivesdk"",""https://drive.google.com/file/d/1bDeVmDY8sAhGw9mq8FvfMNewCKi0Zjrs/view?usp=drivesdk"",""https://drive.google.com/file/d/1vaxGKfgm1cZHcX5YSzYg55Y4ts4L45Sx/view?usp=drivesdk""}",https://jaiporexpress.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Tamarind Fine Indian Dining,(203) 491-2163,33 Main St  Liberty Pole Building,Newtown,Connecticut,6470,United States,"33 Main St  Liberty Pole Building,Newtown,Western Connecticut Planning Region,Connecticut,6470,United States",41.4136195,-73.3092813,"{""https://drive.google.com/file/d/1KZxx4o0PmqjQ8LdPK3I5td4FOG8-fyKT/view?usp=drivesdk"",""https://drive.google.com/file/d/17G8GKV9gp_AeeRLW0GenWWqUHMwE9Y3L/view?usp=drivesdk"",""https://drive.google.com/file/d/1lpiZ3BG9WHVdKjY19fOEygG9KDXNGrbG/view?usp=drivesdk""}",http://tamarindct.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
