businessName,phoneNumber,streetaddress,city,state,zipcode,country,address,longitude,latitude,category,websiteUrl,Image 1,Image 2,Image 3
Food Junction (Indian Street Food),,2600 N Marks Ave,Fresno,California,93722,United States,"2600 N Marks Ave, Fresno, CA 93722, USA",36.775709,-119.8443884,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/A+vibrant+Indian+street+food+market+with+rich%2C+spicy+food_.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+food+feast+with+chicken+tikka+masala+curry%2C+tandoori+chicken+and+appetizers+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Fast+food+box+lunch.png
Food Junction 2 (Indian Street Food),,1095 N Fowler Ave,Fresno,California,93727,United States,"1095 N Fowler Ave, Fresno, CA 93727, USA",36.751456,-119.682365,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/aesthetic+food%2C+breakfast%2C+waffles.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+food+feast+with+chicken+tikka+masala+curry%2C+tandoori+chicken+and+appetizers+(2).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Fast+Food+Box+with+French+Fries.png
Bharat Royal Cuisine,,6443 N Riverside Dr Suite 104,Fresno,California,93722,United States,"6443 N Riverside Dr Suite 104, Fresno, CA 93722, USA",36.8300917,-119.9071894,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/aesthetic+image+of+south+indian+food+with+minimal+backdrop+and+aesthetic+lighting.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+food+feast+with+chicken+tikka+masala+curry%2C+tandoori+chicken+and+appetizers.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/fast+food+burrito%2C+food+photography%2C+bright+red+background.png
Curry House #2,,4277 N West Ave,Fresno,California,93705,United States,"4277 N West Ave, Fresno, CA 93705, USA",36.7950869,-119.8271793,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Air+Fryer+Pakoras%2C+Indian+food+Photography.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+food+feast%2C+samosa%2C+daal%2C+palak+paneer%2C+roti%2C+naan%2C+sunset+backround%2C+arizona%2C+cactus.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/fast+food+cheeseburger.png
Indian Grocery Superstore (IGS) & Restaurant,,5091 N Fresno St 145 B,Fresno,California,93710,United States,"5091 N Fresno St 145 B, Fresno, CA 93710, USA",36.8107216,-119.7820509,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/all+fast+food%2C+delicious+dishes.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+food+flavour+in+true+photo.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Fast+Food+Classics.png
INDIAN BAZZAR,,3622 W Shaw Ave,Fresno,California,93711,United States,"3622 W Shaw Ave, Fresno, CA 93711, USA",36.8086237,-119.8590891,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Aloo+Gobi+Indian+food+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+food+in+amber+glass+lunch+box+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Fast+Food+Combo+Specials.png
Gulab Indian Bistro,,1820 Shaw Ave,Fresno,California,93611,United States,"1820 Shaw Ave, Clovis, CA 93611, USA",36.8070123,-119.6811875,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Aloo+Gobi+Indian+food.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+food+in+amber+glass+lunch+box.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Fast+food+delicious+burger+(1).png
Moga Mandi Indian Market And Restaurant,,5187 E Belmont Ave,Fresno,California,93727,United States,"5187 E Belmont Ave, Fresno, CA 93727, USA",36.75163,-119.718703,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/american+breakfast%2C+breakfast+sandwich+on+a+plate%2C+Professional+Food+photography%2C+Photograph+with+a+Sony+Alpha+a7+III+at+1_160+sec%2C+f_3+(1).5,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+food+in+clay+pots+hd+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Fast+food+delicious+burger.png
Standard Sweets & Spices,,1819 E Dakota Ave,Fresno,California,93726,United States,"1819 E Dakota Ave, Fresno, CA 93726, USA",36.7872228,-119.7894896,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/american+breakfast%2C+breakfast+sandwich+on+a+plate%2C+Professional+Food+photography%2C+Photograph+with+a+Sony+Alpha+a7+III+at+1_160+sec%2C+f_3.5,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+food+in+clay+pots+hd.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Fast+Food+Delivery+Services+in+Alabama.png
Desi Kitchen,,3716 W Shields Ave,Fresno,California,93722,United States,"3716 W Shields Ave, Fresno, CA 93722, USA",36.7799646,-119.8597673,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/american+breakfast%2C+breakfast+wrap+on+a+plate%2C+Professional+Food+photography%2C+Photograph+with+a+Sony+Alpha+a7+III+at+1_160+sec%2C+f_3.5,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+food+industry.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/fast+food+familiar+to+aliens%2C+food+other+digitalization%2C+macdonald%E2%80%99s+for+UFOs.png
Indian Market,,2811 W Clinton Ave,Fresno,California,93705,United States,"2811 W Clinton Ave, Fresno, CA 93705, USA",36.7711387,-119.8435779,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/A+cleaner+at+work.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/A+cleaner+at+work.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Caucasian+man+uses+vacuum+cleaner+to+keep+living+space+tidy.+Man+with+vacuum+cleaner+in+hand+ensures+home+remaining+tidy+place+to+live.+Vertical+photo.png
Fusion Indian Cuisine & Chaat Corner,,1210 Shaw Ave #103,Fresno,California,93612,United States,"1210 Shaw Ave #103, Clovis, CA 93612, USA",36.8080688,-119.69364,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/American+fast+food+restaurant%2C+fast+food+on+the+table.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+food+items+on+kitchen+table%2C+in+kitchen+hd.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Fast+Food+Feast+at+Home.png
Slice Of India,,1345 N Willow Ave #110,Fresno,California,93619,United States,"1345 N Willow Ave #110, Clovis, CA 93619, USA",36.8534414,-119.7280095,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/An+English+breakfast+plate+of+food+with+eggs%2C+sausage+and+toast.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+food+list.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/fast+food+fried+chicken%2C+Ultra+realistic%2C.png
The Curry Pizza Company #1 - Shaw,,3173 W Shaw Ave #103,Fresno,California,93711,United States,"3173 W Shaw Ave #103, Fresno, CA 93711, USA",36.8079111,-119.8483111,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/an+image+raising+awareness+about+global+hunger+and+food+securit.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+food+Mattar+paneer.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/fast+food+meal%2C+white+background.png
Sanjha punjab,,2930 E Nees Ave,Fresno,California,93720,United States,"2930 E Nees Ave, Fresno, CA 93720, USA",36.8531384,-119.7316896,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/_bowl+Grilled+Chicken+Caesar+Salad%2C+gourmet+salad%2C+lunch%2C+flavorful+creation%2C+film+camera%2C+street+food+photography%2C+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+Chicken+Curry%2C+Indian+food+Photography+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Delicious+gyros+fast+food+in+flatbread%2C+lettuce%2C+tomatoes%2C+onions%2C+rolled%2C+isolated%2C+generative+ai.png
Khalsa Burger,,5480 W Shaw Ave,Fresno,California,93722,United States,"5480 W Shaw Ave, Fresno, CA 93722, USA",36.8085474,-119.8890807,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/_bowl+Grilled+Chicken+Caesar+Salad%2C+gourmet+salad%2C+lunch%2C+flavorful+creation%2C+film+camera%2C+street+food+photography%2C.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+Chicken+Curry%2C+Indian+food+Photography.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/delicious+veg+biryani+on+plate.png
Indian Curry Naan Stop,,32603 Ave 7,Fresno,California,93637,United States,"32603 Ave 7, Madera, CA 93637, USA",36.8523539,-119.951866,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/%2C+kerala+appam%2C+top-view%2C+indian+food%2C+gold+plate%2C+photo-realistic.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+chicken+tikka+masala+with+rice+food+dish+%2C+realistic+photo+%2C+high+resolution.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/delicious+veg+momos%2C+scattared%2C+top+view%2C+circle+plate%2C+studio+shot%2C+realistic.webp
India Sweets & Spices,,3055 W Ashlan Ave,Fresno,California,93722,United States,"3055 W Ashlan Ave, Fresno, CA 93722, USA",36.7928423,-119.8456549,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/(Image+of+a+plate+filled+with+luscious+Gulab+Jamun+in+a+vibrant+Diwali+setting)%2C+Diwali%2C+Indian+Sweets%2C+DSLR%2C+50mm%2C+Overhead%2C+Golden+Hour%2C+Colorful.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+chicken+tikka+masala+with+rice+food+dish%2C+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Delicious+vegan+Quinoa+Food+Photo%2C+AI+Generative.png
Maharaja Sweets & Spices,,435 N Clovis Ave,Fresno,California,93611,United States,"435 N Clovis Ave, Clovis, CA 93611, USA",36.8384551,-119.6995016,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/(Image+of+Aloo+Tikki+served+on+a+festive+platter+with+vibrant+chutneys)%2C+Diwali%2C+Indian+Street+Food%2C+DSLR%2C+50mm%2C+Overhead%2C+Golden+Hour%2C+Colorful+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+chicken+tikka+masala+with+rice+food+dish%2C.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Design+a+visually+captivating+AI-generated+image+of+a+Diwali+feast%2C+with+a+table+adorned+with+delicious+sweets+and+traditional+dishes+(1).png
New India Sweets & Spices,,3225 W Shaw Ave Suite 103,Fresno,California,93711,United States,"3225 W Shaw Ave #103, Fresno, CA 93711, USA",36.8068165,-119.8501795,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/(Image+of+Aloo+Tikki+served+on+a+festive+platter+with+vibrant+chutneys)%2C+Diwali%2C+Indian+Street+Food%2C+DSLR%2C+50mm%2C+Overhead%2C+Golden+Hour%2C+Colorful.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+cuisine+food+on+white+background%2C+ultra+realistic%2C+photography%2C+raw%2C+8k+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Design+a+visually+captivating+AI-generated+image+of+a+Diwali+feast%2C+with+a+table+adorned+with+delicious+sweets+and+traditional+dishes+(2).png
Indus Republic Restaurant,,744 P St Suite 103,Fresno,California,93721,United States,"744 P St Suite 103, Fresno, CA 93721, USA",36.7361952,-119.7811907,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/%5B4974394044%5D+simple+daal+illustration+with+yellow+lentils.+cozy.+vegan.+minimalist.+thick+pen.+with+lots+of+green.+square.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+cuisine+food+on+white+background%2C+ultra+realistic%2C+photography%2C+raw%2C+8k.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Design+a+visually+captivating+AI-generated+image+of+a+Diwali+feast%2C+with+a+table+adorned+with+delicious+sweets+and+traditional+dishes+(3).png
Apna Bazar,,5627 Cesar Chavez Boulevard,Fresno,California,93727,United States,"5627 Cesar Chavez Blvd, Fresno, CA 93727, USA",36.7359276,-119.7184963,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/3d+modeling+indian+daal+tadaka+%2Cclose+up%2C+16k%2C+super+high+definition%2C+HD%2C+shot+with+nikon.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+dal+chawal+in+a+takeaway%2C+Indian+Food.+Green%2C+white%2C+black%2C+ui%2C+ux%2C+ui_ux+%2C.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Design+a+visually+captivating+AI-generated+image+of+a+Diwali+feast%2C+with+a+table+adorned+with+delicious+sweets+and+traditional+dishes.png
Desi Tadka,,2508 W Belmont Ave,Fresno,California,93728,United States,"2508 W Belmont Ave, Fresno, CA 93728, USA",36.7504531,-119.8403041,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/3D+pixar+animation%2C+An+indian+village+food+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+dish+butter+chicken+as+a+food+styling+shot+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Dhokla+or+sandwich+dhokla+_+Indian+savory+snacks+made+of+chick+pea+flour+or+rice+flour%2C+selective+focus+stock+photo+Asia%2C+Breakfast%2C+Cheese%2C+Cooked%2C+Food.png
The Meat Bazaar,,6105 E Kings Canyon Rd UNIT 103,Fresno,California,93727,United States,"6105 E Kings Canyon Rd UNIT 103, Fresno, CA 93727, USA",36.73586,-119.6806952,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/3D+pixar+animation%2C+An+indian+village+food.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+dish+butter+chicken+as+a+food+styling+shot.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/dnd+style+sandwich.png
"Shan-e-Punjab supermarket Indian Grocery - Sweets, Snacks, Spices, Etc.",,4741 W Shaw Ave #106,Fresno,California,93722,United States,"4741 W Shaw Ave #106, Fresno, CA 93722, USA",36.8072717,-119.8789055,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/4k+picture+of+Indian+food+momos+background+black.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+family+in+a+restaurant+enjoying+food+and+making+memories.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/donuts%2C+look+tasty%2C+cooking%2C+high+accuracy+of+eating+and+image%2C+food%2C+detail%2C+commercial+photography%2C+focus+on+food%2C+different+camera+position.png
Taco Twist W Shaw Ave,,3050 W Shaw Ave # 106,Fresno,California,93711,United States,"3050 W Shaw Ave # 106, Fresno, CA 93711, USA",36.8093482,-119.8449752,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/4k+picture+of+Indian+food+pani+puri+background+black.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+festival+makar+sankranti+special+haldi+kumkum+with+sankranti+sweets+of+jaggery+recipes%2C+til+ladoo%2C+peanut+chikki%2C+til+chikki%2C+rajgira+laddu.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Easy+Curry+Sauce%2C+Indian+food+Photography.png
India Express - Sweet & Spice,,208 N 8th St,Fresno,California,93702,United States,"208 N 8th St , Fresno, CA 93702, USA",36.7451784,-119.7605922,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/a+breakfast+with+kosher+food+photorealistic.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+Fish+Curry%2C+Indian+food+Photography+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Easy+Two-Ingredient+Naan%2C+Indian+food+Photography+(2).png
Fusion Indian Cuisine & Bar,,2674 Owens Mountain Pkwy,Fresno,California,93611,United States,"2674 Owens Mountain Pkwy, Clovis, CA 93611, USA",36.8451011,-119.6634,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/a+golden+pot+having+swwet+indian+food+like+sweet+milke.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+Fish+Curry%2C+Indian+food+Photography.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Easy+Two-Ingredient+Naan%2C+Indian+food+Photography.png
Indian Restaurant,,5754 W Chennault Ave,Fresno,California,93722,United States,"5754 W Chennault Ave, Fresno, CA 93722, USA",36.842095,-119.8954481,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/a+photograph+of+a+smiling+Zulu+woman+in+a+fast+food+uniform+standing+behind+a+fast+food+counter%2C+steamed+dumplings.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+flag+art%2C+food%2C+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/eggless+mayonnaise+veg+roll%2Cside+view.png
Moga indian cuisine,,2450 N Marks Ave,Fresno,California,93722,United States,"2450 N Marks Ave, Fresno, CA 93722, USA",36.7726358,-119.843617,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/a+plate+decorated+by+the+food+items%2C+indian+cuisine.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+flag+art%2C+food%2C+(3).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Emerging+Food+%26amp_+Beverage+Trends+2021_+AI+Reduces+This+Year%26%23039_s+Unpredictability%2C.png
Chatore India Cuisine LLC.,,6701 N Milburn Ave,Fresno,California,93722,United States,"6701 N Milburn Ave, Fresno, CA 93722, USA",36.8347498,-119.8795076,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/a+real+4k+image+of+a+bowl+with+daal+makhni+in+it+covered+with+melted+cheese.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+flag+art%2C+food%2C.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/erated+im+street+food.png
Veggie Indian food,,4798 N Marty Ave,Fresno,California,93711,United States,"4798 N Marty Ave, Fresno, CA 93711, USA",36.8067383,-119.8576041,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/a+round+barbeque+table+with+3+veg+items+with+Punjabi+people+eating+veg+barbeque+food%2C+wide+angle+shot%2C+and+a+minimal+light+background+with+bokeh+lights.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+food+%2C+illustrations+%2C+cute+%2C+innocent+%2C+dark+color+%2C+aerial+view%2C+wide+angle+short.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Exploring+Irresistible+Fast+Food.png
The Curry Life,,7070 N West Ave,Fresno,California,93711,United States,"7070 N West Ave, Fresno, CA 93711, USA",36.8383524,-119.8245181,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/a+sandwich+inside+a+sandwich.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+food+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Eye+level+POV+of+a+dining+table+filled+with+modak%2C+kheer%2C+laddoo+and+indian+sweets%2C+daylight.png
HOME MADE FOOD,,5248 N Valentine Ave #201,Fresno,California,93722,United States,"5248 N Valentine Ave #201, Fresno, CA 93711, USA",36.8126805,-119.8512121,Restaurant,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/A+table+full+of+indian+food+dishes%2C+wide+angle%2C+8k+relastic+image_.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+food+(2).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Eye+level+POV+of+a+dining+table+filled+with+modak%2C+kheer%2C+laddoo+and+indian+sweets.png
Punjab Truck Driving School,1 559-835-4100,3150 N Weber Ave,Fresno,California,93706,United States,"3150 N Weber Ave, Fresno, CA 93722, USA",36.7817426,-119.8429244,Truck Driving School,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Truck/pexels-cyndi-378229757-14971465.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/Truck/pexels-markie-mad-336302786-14005602.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/Truck/pexels-theshuttervision-9754798.jpg
Dashmesh Truck Driving School & Services,1 559-277-2400,2829 W Nielsen Ave,Fresno,California,93706,United States,"2829 W Nielsen Ave, Fresno, CA 93706, USA",36.7421937,-119.8440239,Truck Driving School,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Truck/pexels-eduardo199o9-178988127-12756876.jpg,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Truck/pexels-tom-jackson-1238161-27099096+(1).jpg
Guru kirpa driving school,1 559-653-8181,3261 S Elm Ave,Fresno,California,93706,United States,"3261 S Elm Ave, Fresno, CA 93706, USA",36.6871217,-119.7918476,Truck Driving School,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Truck/pexels-eduardo199o9-178988127-12756876.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/Truck/pexels-nc-farm-bureau-mark-5876475.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/Truck/pexels-tom-jackson-1238161-27099096.jpg
Gholia Truck Driving School,,2306 W Dan Ronquillo Dr,Fresno,California,93706,United States,"2306 W Dan Ronquillo Dr, Fresno, CA 93706, USA",36.739236,-119.8383576,Truck Driving School,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Truck/pexels-esmihel-12418935+(1).jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/Truck/pexels-none-2149218088-30484147.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/Truck/pexels-y-d-179881567-15898182.jpg
Haryana Truck &Trailer repair shop,1 559-519-1119,4041 S Golden State Blvd,Fresno,California,93725,United states,"4041 S Golden State Blvd, Fresno, CA 93725",36.7123,-119.789,truck repair,http://haryanaworkshop.com/,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-sejio402-29226618.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-calin-razvan-262045390-12658302.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-calin-razvan-262045390-12658302.jpg
Singh 24HR Road service truck repair,1 559-395-3011,Shaw Ave,Fresno,California,93704,United states,"Shaw Ave, Fresno, CA 93704 (approximate)",36.7745,-119.7901,truck repair,,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-mikebirdy-190574.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-calin-razvan-262045390-12658302.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-lumierestudiomx-4116194.jpg
Malhi Truck Road Service,1 559-548-9293,2929 S Peach Ave,Fresno,California,93725,United states,"2929 S Peach Ave, Fresno, CA 93725",36.7189,-119.7567,truck repair,,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-sejio402-29226618.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-lumierestudiomx-4116194.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-calin-razvan-262045390-12658302.jpg
HAR TRUCK REPAIR ( KAMALJEET SINGH ),1 559-755-7947,3078 W Olive Ave,Fresno,California,93728,United states,"3078 W Olive Ave, Fresno, CA 93728",36.782,-119.8248,truck repair,,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-calin-razvan-262045390-12658302.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-sejio402-29226618.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-calin-razvan-262045390-12658302.jpg
Gopi Truck and Trailer Repair Shop,1 929-241-4836,4834 N Cornelia Ave,Fresno,California,93722,United states,"4834 N Cornelia Ave, Fresno, CA 93722",36.8286,-119.7348,truck repair,,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-mikebirdy-190574.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-calin-razvan-262045390-12658302.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-calin-razvan-262045390-12658302.jpg
JTS Truck Repair,1 866-466-4600,3054 E Cartwright Ave,Fresno,California,93725,United states,"3054 E Cartwright Ave, Fresno, CA 93725",36.7196,-119.7554,truck repair,,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-sejio402-29226618.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-calin-razvan-262045390-12658302.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-calin-razvan-262045390-12658302.jpg
RK Truck Repair,1 559-500-2008,2431 Foundry Park Ave,Fresno,California,93706,United states,"2431 Foundry Park Ave, Fresno, CA 93706",36.7565,-119.761,truck repair,,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-mikebirdy-190574.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-calin-razvan-262045390-12658302.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-lumierestudiomx-4116194.jpg
DHILLON TRUCKS HOSPITAL,1 559-495-8788,2347 W Belmont Ave,Fresno,California,93728,United states,"2347 W Belmont Ave, Fresno, CA 93728",36.7816,-119.8257,truck repair,,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-sejio402-29226618.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-lumierestudiomx-4116194.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-calin-razvan-262045390-12658302.jpg
Garry's Truck Repair,1 559-264-7174,4895 E Annadale Ave,Fresno,California,93727,United states,"4895 E Annadale Ave, Fresno, CA 93727",36.829,-119.7521,truck repair,,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-calin-razvan-262045390-12658302.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-sejio402-29226618.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-calin-razvan-262045390-12658302.jpg
Teji Truck & Trailer Repair,1 559-455-8130,3259 S Elm Ave,Fresno,California,93725,United states,"3259 S Elm Ave, Fresno, CA 93725",36.7168,-119.7891,truck repair,,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-mikebirdy-190574.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-calin-razvan-262045390-12658302.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/AUTO/pexels-calin-razvan-262045390-12658302.jpg
